career name,career pathway,in demand for the next 10 years?
Musician (Session),"Arts, Audio/Video Technology, and Communications",no
Stagehand,"Arts, Audio/Video Technology, and Communications",no
Production Assistant,Marketing,no
Film Director,"Arts, Audio/Video Technology, and Communications",no
Makeup Artist,Human Services,no
Hairstylist,Human Services,no
Personal Shopper,Human Services,no
Retail Salesperson,"Business, Management, and Administration",no
Sales Manager (Retail),"Business, Management, and Administration",no
Buyer,Human Services,no
Inventory Manager,Finance,no
Supply Chain Coordinator,Finance,no
Insurance Agent,Finance,no
Bankruptcy Lawyer,Finance,no
Patent Attorney,Finance,no
Tax Preparer,Finance,no
Investment Advisor,Finance,no
Stock Broker,Finance,no
Financial Planner,Finance,no
Bookkeeper,Finance,no
Accounts Payable Clerk,Finance,no
Billing Clerk,Finance,no
Payroll Clerk,Finance,no
Human Resources Assistant,"Business, Management, and Administration",no
Benefits Coordinator,"Business, Management, and Administration",no
Compensation Analyst,"Business, Management, and Administration",no
Training Coordinator,"Business, Management, and Administration",no
Customer Service Representative,"Business, Management, and Administration",no
Social Worker,Human Services,no
Marriage and Family Therapist,Human Services,no
Physical Therapy Assistant,Human Services,no
Pharmacy Technician,Human Services,no
Radiologic Technologist,"Science, Technology, Engineering, and Mathematics",no
Veterinary Technician,"Science, Technology, Engineering, and Mathematics",no
Home Health Aide,Health Science,no
Personal Care Aide,Health Science,no
Cook (Institutional),Human Services,no
Baker,Human Services,no
Butcher,Human Services,no
Food Server,Human Services,no
Bartender,Human Services,no
Tour Guide,Hospitality and Tourism,no
Museum Curator,"Arts, Audio/Video Technology, and Communications",no
Archaeologist,"Arts, Audio/Video Technology, and Communications",no
